作物编号,作物名称,地块类型,季次,面积,亩产量,产量
6,小麦,平旱地,第一季,80.0,800.0,64000.0
7,玉米,平旱地,第一季,55.0,1000.0,55000.0
7,玉米,平旱地,第一季,35.0,1000.0,35000.0
1,黄豆,平旱地,第一季,72.0,400.0,28800.0
4,绿豆,平旱地,第一季,68.0,350.0,23800.0
8,谷子,平旱地,第一季,55.0,400.0,22000.0
6,小麦,梯田,第一季,60.0,760.0,45600.0
2,黑豆,梯田,第一季,46.0,475.0,21850.0
3,红豆,梯田,第一季,40.0,380.0,15200.0
4,绿豆,梯田,第一季,28.0,330.0,9240.0
5,爬豆,梯田,第一季,25.0,395.0,9875.0
8,谷子,梯田,第一季,86.0,380.0,32680.0
6,小麦,梯田,第一季,55.0,760.0,41800.0
8,谷子,梯田,第一季,44.0,380.0,16720.0
9,高粱,梯田,第一季,50.0,600.0,30000.0
10,黍子,梯田,第一季,25.0,500.0,12500.0
1,黄豆,梯田,第一季,60.0,380.0,22800.0
7,玉米,梯田,第一季,45.0,950.0,42750.0
14,莜麦,梯田,第一季,35.0,400.0,14000.0
15,大麦,梯田,第一季,20.0,500.0,10000.0
11,荞麦,山坡地,第一季,15.0,100.0,1500.0
12,南瓜,山坡地,第一季,13.0,2700.0,35100.0
1,黄豆,山坡地,第一季,15.0,360.0,5400.0
13,红薯,山坡地,第一季,18.0,2000.0,36000.0
6,小麦,山坡地,第一季,27.0,720.0,19440.0
3,红豆,山坡地,第一季,20.0,360.0,7200.0
20,土豆,水浇地,第一季,15.0,2000.0,30000.0
36,白萝卜,水浇地,第二季,15.0,4000.0,60000.0
28,小青菜,水浇地,第一季,10.0,3200.0,32000.0
35,大白菜,水浇地,第二季,10.0,5000.0,50000.0
21,西红柿,水浇地,第一季,14.0,2400.0,33600.0
35,大白菜,水浇地,第二季,14.0,5000.0,70000.0
22,茄子,水浇地,第一季,6.0,6400.0,38400.0
35,大白菜,水浇地,第二季,6.0,5000.0,30000.0
17,豇豆,水浇地,第一季,10.0,3000.0,30000.0
36,白萝卜,水浇地,第二季,10.0,4000.0,40000.0
18,刀豆,水浇地,第一季,12.0,2000.0,24000.0
37,红萝卜,水浇地,第二季,12.0,3000.0,36000.0
16,水稻,水浇地,第一季,22.0,500.0,11000.0
16,水稻,水浇地,第一季,20.0,500.0,10000.0
18,刀豆,普通大棚,第一季,0.6,2400.0,1440.0
38,榆黄菇,普通大棚,第二季,0.6,5000.0,3000.0
24,青椒,普通大棚,第一季,0.6,3000.0,1800.0
38,榆黄菇,普通大棚,第二季,0.6,5000.0,3000.0
25,菜花,普通大棚,第一季,0.6,4000.0,2400.0
38,榆黄菇,普通大棚,第二季,0.6,5000.0,3000.0
26,包菜,普通大棚,第一季,0.6,4500.0,2700.0
39,香菇,普通大棚,第二季,0.6,4000.0,2400.0
28,小青菜,普通大棚,第一季,0.6,4000.0,2400.0
39,香菇,普通大棚,第二季,0.6,4000.0,2400.0
27,油麦菜,普通大棚,第一季,0.6,5000.0,3000.0
39,香菇,普通大棚,第二季,0.6,4000.0,2400.0
19,芸豆,普通大棚,第一季,0.6,3600.0,2160.0
40,白灵菇,普通大棚,第二季,0.6,10000.0,6000.0
19,芸豆,普通大棚,第一季,0.6,3600.0,2160.0
40,白灵菇,普通大棚,第二季,0.6,10000.0,6000.0
18,刀豆,普通大棚,第一季,0.6,2400.0,1440.0
40,白灵菇,普通大棚,第二季,0.6,10000.0,6000.0
17,豇豆,普通大棚,第一季,0.6,3600.0,2160.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
17,豇豆,普通大棚,第一季,0.6,3600.0,2160.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
22,茄子,普通大棚,第一季,0.6,8000.0,4800.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
21,西红柿,普通大棚,第一季,0.6,3000.0,1800.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
29,黄瓜,普通大棚,第一季,0.6,15000.0,9000.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
30,生菜,普通大棚,第一季,0.3,5000.0,1500.0
27,油麦菜,普通大棚,第一季,0.3,5000.0,1500.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
31,辣椒,普通大棚,第一季,0.6,2000.0,1200.0
41,羊肚菌,普通大棚,第二季,0.6,1000.0,600.0
32,空心菜,智慧大棚,第一季,0.3,12000.0,3600.0
33,黄心菜,智慧大棚,第一季,0.3,6000.0,1800.0
24,青椒,智慧大棚,第二季,0.3,2700.0,810.0
21,西红柿,智慧大棚,第二季,0.3,2700.0,810.0
25,菜花,智慧大棚,第一季,0.3,4000.0,1200.0
26,包菜,智慧大棚,第一季,0.3,4500.0,1350.0
22,茄子,智慧大棚,第二季,0.3,7200.0,2160.0
29,黄瓜,智慧大棚,第二季,0.3,13500.0,4050.0
17,豇豆,智慧大棚,第一季,0.6,3600.0,2160.0
28,小青菜,智慧大棚,第二季,0.3,3600.0,1080.0
30,生菜,智慧大棚,第二季,0.3,4500.0,1350.0
19,芸豆,智慧大棚,第一季,0.6,3600.0,2160.0
34,芹菜,智慧大棚,第二季,0.3,6000.0,1800.0
23,菠菜,智慧大棚,第二季,0.3,3000.0,900.0
