作物编号,作物名称,季次,产量,面积2023
1,黄豆,第一季,57000.0,147.0
2,黑豆,第一季,21850.0,46.0
3,红豆,第一季,22400.0,60.0
4,绿豆,第一季,33040.0,96.0
5,爬豆,第一季,9875.0,25.0
6,小麦,第一季,170840.0,222.0
7,玉米,第一季,132750.0,135.0
8,谷子,第一季,71400.0,185.0
9,高粱,第一季,30000.0,50.0
10,黍子,第一季,12500.0,25.0
11,荞麦,第一季,1500.0,15.0
12,南瓜,第一季,35100.0,13.0
13,红薯,第一季,36000.0,18.0
14,莜麦,第一季,14000.0,35.0
15,大麦,第一季,10000.0,20.0
16,水稻,第一季,21000.0,42.0
17,豇豆,第一季,36480.0,11.8
18,刀豆,第一季,26880.0,13.2
19,芸豆,第一季,6480.0,1.7999999999999998
20,土豆,第一季,30000.0,15.0
21,西红柿,第一季,35400.0,14.6
21,西红柿,第二季,810.0,0.3
22,茄子,第一季,43200.0,6.6
22,茄子,第二季,2160.0,0.3
23,菠菜,第二季,900.0,0.3
24,青椒,第一季,1800.0,0.6
24,青椒,第二季,810.0,0.3
25,菜花,第一季,3600.0,0.8999999999999999
26,包菜,第一季,4050.0,0.8999999999999999
27,油麦菜,第一季,4500.0,0.8999999999999999
28,小青菜,第一季,34400.0,10.6
28,小青菜,第二季,1080.0,0.3
29,黄瓜,第一季,9000.0,0.6
29,黄瓜,第二季,4050.0,0.3
30,生菜,第一季,1500.0,0.3
30,生菜,第二季,1350.0,0.3
31,辣椒,第一季,1200.0,0.6
32,空心菜,第一季,3600.0,0.3
33,黄心菜,第一季,1800.0,0.3
34,芹菜,第二季,1800.0,0.3
35,大白菜,第二季,150000.0,30.0
36,白萝卜,第二季,100000.0,25.0
37,红萝卜,第二季,36000.0,12.0
38,榆黄菇,第二季,9000.0,1.7999999999999998
39,香菇,第二季,7200.0,1.7999999999999998
40,白灵菇,第二季,18000.0,1.7999999999999998
41,羊肚菌,第二季,4200.0,4.2
