指标,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
week,0.1264785351156717,3.040927546445785e-05,0.08452949975142011,0.005419647059873649
孕妇BMI,-0.15129981392456493,5.73666284194149e-07,-0.15495941516592615,3.018672242238757e-07
年龄,-0.11939090014679028,8.258709162388915e-05,-0.11720094019880418,0.00011152318585615408
身高,-0.10465062664355512,0.0005650770230304527,-0.10112886401612817,0.0008647006231826145
体重,-0.1806009455711049,2.190083110974479e-09,-0.16697018963604288,3.2994114624570524e-08
GC含量,-0.019352347606999387,0.5248446094354241,-0.016646062308148555,0.5844084746807455
唯一比对的读段数,-0.09877320000236633,0.001141029797504685,-0.06943907987737101,0.022357990415743823
原始读段数,-0.1099410559005723,0.000290999098983783,-0.08598906895682422,0.0046478353546309786
在参考基因组上比对的比例,-0.10549656894995266,0.0005091950260165363,-0.15943210693349455,1.3493241590853363e-07
被过滤掉读段数的比例,0.05992508220158679,0.04876340822472407,0.0860377141892331,0.004624537062341287
